"ID";"Aktywny (0 lub 1)";"Nazwa";"Kategorie (x,y,z...)";"Cena bez podatku. (netto)";"ID reguły podatku";"Koszt własny";"W sprzedaży (0 lub 1)";"Wartość rabatu";"Procent rabatu";"Rabat od dnia (rrrr-mm-dd)";"Rabat do dnia (rrrr-mm-dd)";"Indeks #";"Kod dostawcy";"Dostawca";"Marka";"kod EAN13";"Kod kreskowy UPC";"MPN";"Podatek ekologiczny";"Szerokość";"Wysokość";"Głębokość";"Waga";"Czas dostawy produktów dostępnych w magazynie:";"Czas dostawy wyprzedanych produktów z możliwością rezerwacji:";"Ilość";"Minimalna ilość";"Niski poziom produktów w magazynie";"Wyślij do mnie e-mail, gdy ilość jest poniżej tego poziomu";"Widoczność";"Dodatkowe koszty przesyłki";"Jednostka dla ceny za jednostkę";"Cena za jednostkę";"Podsumowanie";"Opis";"Tagi (x,y,z...)";"Meta-tytuł";"Słowa kluczowe meta";"Opis meta";"Przepisany URL";"Etykieta, gdy w magazynie";"Etykieta kiedy dozwolone ponowne zamówienie";"Dostępne do zamówienia (0 = Nie, 1 = Tak)";"Data dostępności produktu";"Data wytworzenia produktu";"Pokaż cenę (0 = Nie, 1 = Tak)";"Adresy URL zdjęcia (x,y,z...)"
11;1;"Puchowa kurtka z kapturem";"TataKobasa";"599,90";1;"";0;"";"";"";"";"0000XA2934";"";"";"";"";"";"";"";"";"";"";"";"";"";27;1;5;"";"both";"";"";"";"<p>100% Poliester, podszewka: 100% Poliester</p>";"<p>Pikowana kurtka w kolorze szarym. Posiada kieszenie boczne zasuwane na zamek, zapinana jest na zamek błyskawiczny. Kurtka posiada naturalne wypełnienie z puchu kaczego z dodatkiem pierzy. Wykonana z wodoodpornej tkaniny. Produkt z możliwością spakowania do małej torby. Model na zdjęciu ma 190 cm wzrostu i prezentuje rozmiar 50.</p>";"";"";"";"";"";"Dostępny";"Niedostępny";1;"";"";1;"https://vistula.pl/mis/d/szara-kurtka-vistula-129840.jpg,https://vistula.pl/mis/d/szara-kurtka-vistula-129796.jpg,https://vistula.pl/mis/d/szara-kurtka-vistula-129840.jpg,https://vistula.pl/mis/d/szara-kurtka-vistula-129796.jpg,https://vistula.pl/mis/d/szara-kurtka-vistula-129888.jpg,https://vistula.pl/mis/d/szara-kurtka-vistula-129864.jpg,https://vistula.pl/mis/d/szara-kurtka-vistula-129980.jpg,https://vistula.pl/mis/d/szara-kurtka-vistula-129924.jpg,https://vistula.pl/mis/d/szara-kurtka-vistula-130004.jpg,https://vistula.pl/mis/d/szara-kurtka-vistula-129996.jpg,https://vistula.pl/mis/d/szara-kurtka-vistula-129964.jpg"
12;1;"Parka z technicznej tkaniny";"TataKobasa";"799,90";1;"";0;"";"";"";"";"0000XA1662";"";"";"";"";"";"";"";"";"";"";"";"";"";10;1;5;"";"both";"";"";"";"<p>100% Poliester, podszewka: 100% Poliamid</p>";"<p>Dłuższa kurtka z kapturem w kolorze granatowym. Posiada regulowany kaptur oraz kieszonkę z zamkiem na lewym rękawie. Wewnątrz pikowana podszewka z wypełnieniem z poliestru. Model na zdjęciu ma 190 cm wzrostu i prezentuje rozmiar 50.</p>";"";"";"";"";"";"Dostępny";"Niedostępny";1;"";"";1;"https://vistula.pl/mis/d/granatowa-kurtka-vistula-128205.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-128209.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-128205.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-128209.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-128249.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-128193.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-128221.jpg"
13;1;"Parka z technicznej tkaniny";"TataKobasa";"799,90";1;"";0;"";"";"";"";"0000XA1663";"";"";"";"";"";"";"";"";"";"";"";"";"";14;1;5;"";"both";"";"";"";"<p>100% Poliester, podszewka: 100% Poliamid</p>";"<p>Dłuższa kurtka z kapturem w kolorze fioletowym. Posiada regulowany kaptur oraz kieszonkę z zamkiem na lewym rękawie. Wewnątrz pikowana podszewka z wypełnieniem z poliestru. Model na zdjęciu ma 186,5 cm wzrostu i prezentuje rozmiar 50.</p>";"";"";"";"";"";"Dostępny";"Niedostępny";1;"";"";1;"https://vistula.pl/mis/d/fioletowa-kurtka-vistula-130236.jpg,https://vistula.pl/mis/d/fioletowa-kurtka-vistula-130144.jpg,https://vistula.pl/mis/d/fioletowa-kurtka-vistula-130236.jpg,https://vistula.pl/mis/d/fioletowa-kurtka-vistula-130144.jpg,https://vistula.pl/mis/d/fioletowa-kurtka-vistula-130276.jpg,https://vistula.pl/mis/d/fioletowa-kurtka-vistula-130112.jpg"
14;1;"Parka z technicznej tkaniny";"TataKobasa";"799,90";1;"";0;"";"";"";"";"0000XA1828";"";"";"";"";"";"";"";"";"";"";"";"";"";50;1;5;"";"both";"";"";"";"<p>100% Poliester, podszewka: 100% Poliamid</p>";"<p>Dłuższa kurtka z kapturem w kolorze czarnym. Posiada regulowany kaptur oraz kieszonkę z zamkiem na lewym rękawie. Wewnątrz pikowana podszewka z wypełnieniem z poliestru. Model na zdjęciu ma 186,5 cm wzrostu i prezentuje rozmiar 50.</p>";"";"";"";"";"";"Dostępny";"Niedostępny";1;"";"";1;"https://vistula.pl/mis/d/czarna-kurtka-vistula-130248.jpg,https://vistula.pl/mis/d/czarna-kurtka-vistula-130116.jpg,https://vistula.pl/mis/d/czarna-kurtka-vistula-130248.jpg,https://vistula.pl/mis/d/czarna-kurtka-vistula-130116.jpg,https://vistula.pl/mis/d/czarna-kurtka-vistula-130312.jpg,https://vistula.pl/mis/d/czarna-kurtka-vistula-130108.jpg"
15;1;"Dwurzędowa kurtka";"TataKobasa";"1199,90";1;"";0;"";"";"";"";"9V47VI1582";"";"";"";"";"";"";"";"";"";"";"";"";"";58;1;5;"";"both";"";"";"";"<p>50% Wełna, 25% Poliakryl, 20% Poliester, 5% Inne włókna, podszewka: 100% Wiskoza, podszewka rękawów: 100% Wiskoza</p>";"<p>Kurtka męska w kolorze granatowym. Zapinana jest na trzy guziki, z tyłu jedno rozcięcie. Posiada kołnierz ze stójką oraz prostymi klapami, kieszenie boczne skośne z listewką. Dół rękawów z zapinką i guzikiem. Model na zdjęciu ma 186 cm wzrostu i prezentuje rozmiar 50.</p>";"";"";"";"";"";"Dostępny";"Niedostępny";1;"";"";1;"https://vistula.pl/mis/d/granatowa-kurtka-vistula-89978.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-89970.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-89978.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-89970.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-89982.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-89974.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-94027.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-94023.jpg"
16;1;"Dwurzędowa kurtka";"TataKobasa";"1199,90";1;"";0;"";"";"";"";"9V47VI1659";"";"";"";"";"";"";"";"";"";"";"";"";"";50;1;5;"";"both";"";"";"";"<p>50% Wełna, 25% Poliakryl, 20% Poliester, 5% Inne włókna, podszewka: 100% Wiskoza, podszewka rękawów: 100% Wiskoza</p>";"<p>Kurtka męska w kolorze szary melanż. Zapinana jest na trzy guziki, z tyłu jedno rozcięcie. Posiada kołnierz ze stójką oraz prostymi klapami, kieszenie boczne skośne z listewką. Dół rękawów z zapinką i guzikiem. Model na zdjęciu ma 186 cm wzrostu i prezentuje rozmiar 50.</p>";"";"";"";"";"";"Dostępny";"Niedostępny";1;"";"";1;"https://vistula.pl/mis/d/szara-kurtka-vistula-89710.jpg,https://vistula.pl/mis/d/szara-kurtka-vistula-89714.jpg,https://vistula.pl/mis/d/szara-kurtka-vistula-89710.jpg,https://vistula.pl/mis/d/szara-kurtka-vistula-89714.jpg,https://vistula.pl/mis/d/szara-kurtka-vistula-89738.jpg,https://vistula.pl/mis/d/szara-kurtka-vistula-89726.jpg,https://vistula.pl/mis/d/szara-kurtka-vistula-127841.jpg,https://vistula.pl/mis/d/szara-kurtka-vistula-127877.jpg"
17;1;"Krótka puchowa parka";"TataKobasa";"999,90";1;"";0;"";"";"";"";"0000XA1695";"";"";"";"";"";"";"";"";"";"";"";"";"";35;1;5;"";"both";"";"";"";"<p>100% Poliester, podszewka: 100% Poliester, podszewka rękawów: 100% Poliester</p>";"<p>Kurtka męska w kolorze granatowym. Zapinana jest na zamek błyskawiczny kryty plisą zapinaną na napy. Posiada kieszenie z patkami, zapinane na napy. W pasie sznurek do regulacji obwodu. Model na zdjęciu ma 190 cm wzrostu i prezentuje rozmiar 50.</p>";"";"";"";"";"";"Dostępny";"Niedostępny";1;"";"";1;"https://vistula.pl/mis/d/granatowa-kurtka-vistula-126387.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-126411.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-126387.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-126411.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-126372.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-126390.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-90590.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-90594.jpg"
18;1;"Puchowa kurtka ze stójką";"TataKobasa";"799,90";1;"";1;299.91;"";"";"";"0000XA1550";"";"";"";"";"";"";"";"";"";"";"";"";"";48;1;5;"";"both";"";"";"";"<p>100% Poliamid, podszewka: 100% Poliester, podszewka rękawów: 100% Poliester</p>";"<p>Cienka kurtka męska w kolorze bordowym. Zapinana jest na zamek i napy. Posiada kieszenie nakładane zapinane na napę, z boku sznurek do regulacji dołu kurtki. Rękawy wykończone mankietem z gumką. Model na zdjęciu ma 188 cm i prezentuje rozmiar 50.</p>";"";"";"";"";"";"Dostępny";"Niedostępny";1;"";"";1;"https://vistula.pl/mis/d/bordowa-kurtka-vistula-122007.jpg,https://vistula.pl/mis/d/bordowa-kurtka-vistula-121923.jpg,https://vistula.pl/mis/d/bordowa-kurtka-vistula-122007.jpg,https://vistula.pl/mis/d/bordowa-kurtka-vistula-121923.jpg,https://vistula.pl/mis/d/bordowa-kurtka-vistula-122075.jpg,https://vistula.pl/mis/d/bordowa-kurtka-vistula-112822.jpg,https://vistula.pl/mis/d/bordowa-kurtka-vistula-112842.jpg"
19;1;"Puchowa kurtka ze stójką";"TataKobasa";"799,90";1;"";1;299.91;"";"";"";"0000XA1551";"";"";"";"";"";"";"";"";"";"";"";"";"";55;1;5;"";"both";"";"";"";"<p>100% Poliamid, podszewka: 100% Poliester, podszewka rękawów: 100% Poliester</p>";"<p>Cienka kurtka męska w kolorze granatowym. Zapinana jest na zamek i napy. Posiada kieszenie nakładane zapinane na napę, z boku sznurek do regulacji dołu kurtki. Rękawy wykończone mankietem z gumką. Model na zdjęciu ma 188 cm i prezentuje rozmiar 50.</p>";"";"";"";"";"";"Dostępny";"Niedostępny";1;"";"";1;"https://vistula.pl/mis/d/granatowa-kurtka-vistula-121879.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-121903.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-121879.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-121903.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-122019.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-121959.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-109191.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-94043.jpg"
20;1;"Puchowa kurtka ze stójką";"TataKobasa";"799,90";1;"";1;299.91;"";"";"";"0000XA1708";"";"";"";"";"";"";"";"";"";"";"";"";"";17;1;5;"";"both";"";"";"";"<p>100% Poliamid, podszewka: 100% Poliester, podszewka rękawów: 100% Poliester</p>";"<p>Cienka kurtka męska w kolorze czarnym. Zapinana jest na zamek i napy. Posiada kieszenie nakładane zapinane na napę, z boku sznurek do regulacji dołu kurtki. Rękawy wykończone mankietem z gumką. Model na zdjęciu ma 188 cm i prezentuje rozmiar 50.</p>";"";"";"";"";"";"Dostępny";"Niedostępny";1;"";"";1;"https://vistula.pl/mis/d/czarna-kurtka-vistula-121911.jpg,https://vistula.pl/mis/d/czarna-kurtka-vistula-121883.jpg,https://vistula.pl/mis/d/czarna-kurtka-vistula-121911.jpg,https://vistula.pl/mis/d/czarna-kurtka-vistula-121883.jpg,https://vistula.pl/mis/d/czarna-kurtka-vistula-122043.jpg,https://vistula.pl/mis/d/czarna-kurtka-vistula-121863.jpg,https://vistula.pl/mis/d/czarna-kurtka-vistula-109195.jpg,https://vistula.pl/mis/d/czarna-kurtka-vistula-94051.jpg"
