"Identyfikator Produktu (ID)";"Indeks produktu";"Atrybut (Nazwa:Typ:Pozycja)*";"Wartość (Wartość:Pozycja)*"
23;"";"Rozmiar:select:1";"50"
23;"";"Rozmiar:select:1";"52"
23;"";"Rozmiar:select:1";"54"
23;"";"Rozmiar:select:1";"56"
23;"";"Rozmiar:select:1";"58"
24;"";"Rozmiar:select:1";"48"
24;"";"Rozmiar:select:1";"50"
24;"";"Rozmiar:select:1";"52"
24;"";"Rozmiar:select:1";"54"
24;"";"Rozmiar:select:1";"56"
24;"";"Rozmiar:select:1";"58"
25;"";"Rozmiar:select:1";"46"
25;"";"Rozmiar:select:1";"48"
25;"";"Rozmiar:select:1";"50"
25;"";"Rozmiar:select:1";"52"
25;"";"Rozmiar:select:1";"54"
25;"";"Rozmiar:select:1";"56"
25;"";"Rozmiar:select:1";"58"
26;"";"Rozmiar:select:1";"48"
26;"";"Rozmiar:select:1";"50"
26;"";"Rozmiar:select:1";"52"
26;"";"Rozmiar:select:1";"54"
26;"";"Rozmiar:select:1";"56"
26;"";"Rozmiar:select:1";"58"
27;"";"Rozmiar:select:1";"46"
27;"";"Rozmiar:select:1";"48"
27;"";"Rozmiar:select:1";"50"
27;"";"Rozmiar:select:1";"52"
27;"";"Rozmiar:select:1";"54"
27;"";"Rozmiar:select:1";"56"
27;"";"Rozmiar:select:1";"58"
28;"";"Rozmiar:select:1";"48"
28;"";"Rozmiar:select:1";"50"
28;"";"Rozmiar:select:1";"52"
28;"";"Rozmiar:select:1";"54"
28;"";"Rozmiar:select:1";"56"
28;"";"Rozmiar:select:1";"58"
29;"";"Rozmiar:select:1";"48"
29;"";"Rozmiar:select:1";"50"
29;"";"Rozmiar:select:1";"52"
29;"";"Rozmiar:select:1";"54"
29;"";"Rozmiar:select:1";"56"
29;"";"Rozmiar:select:1";"58"
30;"";"Rozmiar:select:1";"25"
30;"";"Rozmiar:select:1";"27"
30;"";"Rozmiar:select:1";"48"
30;"";"Rozmiar:select:1";"50"
30;"";"Rozmiar:select:1";"52"
30;"";"Rozmiar:select:1";"54"
30;"";"Rozmiar:select:1";"56"
30;"";"Rozmiar:select:1";"58"
30;"";"Rozmiar:select:1";"60"
30;"";"Rozmiar:select:1";"98"
30;"";"Rozmiar:select:1";"102"
30;"";"Rozmiar:select:1";"106"
31;"";"Rozmiar:select:1";"25"
31;"";"Rozmiar:select:1";"48"
31;"";"Rozmiar:select:1";"50"
31;"";"Rozmiar:select:1";"52"
31;"";"Rozmiar:select:1";"54"
31;"";"Rozmiar:select:1";"56"
31;"";"Rozmiar:select:1";"58"
31;"";"Rozmiar:select:1";"60"
32;"";"Rozmiar:select:1";"46"
32;"";"Rozmiar:select:1";"48"
32;"";"Rozmiar:select:1";"50"
32;"";"Rozmiar:select:1";"52"
32;"";"Rozmiar:select:1";"54"
32;"";"Rozmiar:select:1";"56"
33;"";"Rozmiar:select:1";"48"
33;"";"Rozmiar:select:1";"50"
33;"";"Rozmiar:select:1";"52"
33;"";"Rozmiar:select:1";"54"
33;"";"Rozmiar:select:1";"56"
34;"";"Rozmiar:select:1";"25"
34;"";"Rozmiar:select:1";"27"
34;"";"Rozmiar:select:1";"48"
34;"";"Rozmiar:select:1";"50"
34;"";"Rozmiar:select:1";"52"
34;"";"Rozmiar:select:1";"54"
34;"";"Rozmiar:select:1";"56"
34;"";"Rozmiar:select:1";"58"
34;"";"Rozmiar:select:1";"60"
34;"";"Rozmiar:select:1";"98"
34;"";"Rozmiar:select:1";"102"
34;"";"Rozmiar:select:1";"106"
35;"";"Rozmiar:select:1";"48"
35;"";"Rozmiar:select:1";"50"
35;"";"Rozmiar:select:1";"52"
35;"";"Rozmiar:select:1";"54"
35;"";"Rozmiar:select:1";"56"
35;"";"Rozmiar:select:1";"58"
36;"";"Rozmiar:select:1";"25"
36;"";"Rozmiar:select:1";"27"
36;"";"Rozmiar:select:1";"48"
36;"";"Rozmiar:select:1";"50"
36;"";"Rozmiar:select:1";"52"
36;"";"Rozmiar:select:1";"54"
36;"";"Rozmiar:select:1";"56"
36;"";"Rozmiar:select:1";"58"
36;"";"Rozmiar:select:1";"60"
36;"";"Rozmiar:select:1";"98"
36;"";"Rozmiar:select:1";"102"
36;"";"Rozmiar:select:1";"106"
37;"";"Rozmiar:select:1";"25"
37;"";"Rozmiar:select:1";"27"
37;"";"Rozmiar:select:1";"48"
37;"";"Rozmiar:select:1";"50"
37;"";"Rozmiar:select:1";"52"
37;"";"Rozmiar:select:1";"54"
37;"";"Rozmiar:select:1";"56"
37;"";"Rozmiar:select:1";"58"
37;"";"Rozmiar:select:1";"60"
37;"";"Rozmiar:select:1";"98"
37;"";"Rozmiar:select:1";"102"
37;"";"Rozmiar:select:1";"106"
38;"";"Rozmiar:select:1";"25"
38;"";"Rozmiar:select:1";"27"
38;"";"Rozmiar:select:1";"48"
38;"";"Rozmiar:select:1";"50"
38;"";"Rozmiar:select:1";"52"
38;"";"Rozmiar:select:1";"54"
38;"";"Rozmiar:select:1";"56"
38;"";"Rozmiar:select:1";"58"
38;"";"Rozmiar:select:1";"60"
38;"";"Rozmiar:select:1";"98"
38;"";"Rozmiar:select:1";"102"
38;"";"Rozmiar:select:1";"106"
39;"";"Rozmiar:select:1";"25"
39;"";"Rozmiar:select:1";"27"
39;"";"Rozmiar:select:1";"48"
39;"";"Rozmiar:select:1";"50"
39;"";"Rozmiar:select:1";"52"
39;"";"Rozmiar:select:1";"54"
39;"";"Rozmiar:select:1";"56"
39;"";"Rozmiar:select:1";"58"
39;"";"Rozmiar:select:1";"60"
39;"";"Rozmiar:select:1";"98"
39;"";"Rozmiar:select:1";"102"
39;"";"Rozmiar:select:1";"106"
40;"";"Rozmiar:select:1";"46"
40;"";"Rozmiar:select:1";"48"
40;"";"Rozmiar:select:1";"50"
40;"";"Rozmiar:select:1";"52"
40;"";"Rozmiar:select:1";"54"
40;"";"Rozmiar:select:1";"56"
40;"";"Rozmiar:select:1";"58"
41;"";"Rozmiar:select:1";"48"
41;"";"Rozmiar:select:1";"50"
41;"";"Rozmiar:select:1";"52"
41;"";"Rozmiar:select:1";"54"
41;"";"Rozmiar:select:1";"56"
41;"";"Rozmiar:select:1";"58"
42;"";"Rozmiar:select:1";"S"
42;"";"Rozmiar:select:1";"M"
42;"";"Rozmiar:select:1";"L"
42;"";"Rozmiar:select:1";"XL"
42;"";"Rozmiar:select:1";"XXL"
43;"";"Rozmiar:select:1";"S"
43;"";"Rozmiar:select:1";"M"
43;"";"Rozmiar:select:1";"L"
43;"";"Rozmiar:select:1";"XL"
43;"";"Rozmiar:select:1";"XXL"
44;"";"Rozmiar:select:1";"S"
44;"";"Rozmiar:select:1";"M"
44;"";"Rozmiar:select:1";"L"
44;"";"Rozmiar:select:1";"XL"
44;"";"Rozmiar:select:1";"XXL"
45;"";"Rozmiar:select:1";"S"
45;"";"Rozmiar:select:1";"M"
45;"";"Rozmiar:select:1";"L"
45;"";"Rozmiar:select:1";"XL"
45;"";"Rozmiar:select:1";"XXL"
46;"";"Rozmiar:select:1";"S"
46;"";"Rozmiar:select:1";"M"
46;"";"Rozmiar:select:1";"L"
46;"";"Rozmiar:select:1";"XL"
46;"";"Rozmiar:select:1";"XXL"
47;"";"Rozmiar:select:1";"M"
47;"";"Rozmiar:select:1";"L"
