"ID";"Aktywny (0 lub 1)";"Nazwa";"Kategorie (x,y,z...)";"Cena bez podatku. (netto)"
90;1;"Bawełniany półgolf";"TataKobasa";"299,90"
91;1;"Jeansy o prostym kroju";"TataKobasa";"349,90"
92;1;"Jeansy z przetarciami";"TataKobasa";"349,90"
93;1;"Jeansy z przetarciami";"TataKobasa";"349,90"
94;1;"Jeansy o prostym kroju";"TataKobasa";"349,90"
95;1;"Jeansy o prostym kroju";"TataKobasa";"349,90"
96;1;"Klasyczne jeansy z przetarciami";"TataKobasa";"349,90"
97;1;"Jeansy";"TataKobasa";"349,90"
98;1;"Jeansy o luźnym kroju";"TataKobasa";"399,90"
99;1;"Jeansy";"TataKobasa";"349,90"
100;1;"VISTULA|PZPN - Wełniane spodnie";"TataKobasa";"899,90"
101;1;"Chinosy o kroju slim fit";"TataKobasa";"349,90"
102;1;"Chinosy o kroju slim fit";"TataKobasa";"349,90"
103;1;"Chinosy o kroju slim fit";"TataKobasa";"349,90"
104;1;"Chinosy o kroju slim fit";"TataKobasa";"349,90"
105;1;"Chinosy o kroju slim fit";"TataKobasa";"349,90"
106;1;"Chinosy w o kroju slim fit w kratę";"TataKobasa";"349,90"
107;1;"Chinosy o kroju slim fit w kratę";"TataKobasa";"349,90"
108;1;"Chinosy o kroju slim fit w kratę";"TataKobasa";"349,90"
109;1;"Chinosy o kroju slim fit w kratę";"TataKobasa";"299,90"
110;1;"Chinosy o kroju slim fit";"TataKobasa";"349,90"
111;1;"Sztruksowe spodnie o kroju slim fit";"TataKobasa";"299,90"
112;1;"Sztruksowe spodnie o kroju slim fit";"TataKobasa";"299,90"
113;1;"Sztruksowe spodnie o kroju slim fit";"TataKobasa";"299,90"
114;1;"Spodnie o kroju regular";"TataKobasa";"299,90"
115;1;"Spodnie o kroju regular";"TataKobasa";"299,90"
116;1;"Spodnie o kroju regular";"TataKobasa";"299,90"
117;1;"Sztruksowe spodnie slim fit";"TataKobasa";"349,90"
118;1;"Spodnie o kroju slim fit";"TataKobasa";"349,90"
119;1;"Spodnie o kroju slim fit";"TataKobasa";"349,90"
120;1;"Chinosy o kroju slim fit";"TataKobasa";"349,90"
121;1;"Sztruksowe spodnie";"TataKobasa";"299,90"
122;1;"Sztruksowe spodnie";"TataKobasa";"299,90"
123;1;"Sztruksowe spodnie";"TataKobasa";"299,90"
124;1;"Bluza z okrągłym tłoczeniem";"TataKobasa";"349,90"
125;1;"Bluza z kapturem";"TataKobasa";"349,90"
126;1;"Bluza z kapturem";"TataKobasa";"349,90"
127;1;"Bluza z kapturem";"TataKobasa";"349,90"
128;1;"Bluza z logo";"TataKobasa";"299,90"
129;1;"Bluza z logo";"TataKobasa";"299,90"
130;1;"Bluza z logo";"TataKobasa";"299,90"
131;1;"Bluza z bawełny pima";"TataKobasa";"249,90"
132;1;"Bluza z bawełny pima";"TataKobasa";"249,90"
133;1;"Bluza z bawełny pima";"TataKobasa";"249,90"
134;1;"Bluza z haftem";"TataKobasa";"349,90"
135;1;"Bluza z kapturem";"TataKobasa";"349,90"
136;1;"Bluza z kapturem";"TataKobasa";"349,90"
137;1;"Bluza z kapturem";"TataKobasa";"349,90"
138;1;"Sportowa bluza z ozdobnymi lampasami";"TataKobasa";"399,90"
139;1;"Sportowa bluza z ozdobnymi lampasami";"TataKobasa";"399,90"
140;1;"Spodnie dresowe";"TataKobasa";"299,90"
141;1;"Spodnie dresowe";"TataKobasa";"299,90"
142;1;"Bluza z kapturem";"TataKobasa";"349,90"
143;1;"Bluza z kapturem";"TataKobasa";"349,90"
144;1;"Sportowa bluza z ozdobnymi lampasami";"TataKobasa";"399,90"
145;1;"Sportowa bluza z ozdobnymi lampasami";"TataKobasa";"399,90"
146;1;"Spodnie dresowe z przeszyciami";"TataKobasa";"249,90"
147;1;"Spodnie dresowe z ozdobnymi lampasami";"TataKobasa";"249,90"
148;1;"Spodnie dresowe z ozdobnymi lampasami";"TataKobasa";"249,90"
149;1;"Joggery cargo";"TataKobasa";"349,90"
150;1;"Spodnie dzianinowe z przeszyciami";"TataKobasa";"299,90"
151;1;"Spodnie dresowe";"TataKobasa";"299,90"
152;1;"Spodnie dresowe";"TataKobasa";"299,90"
153;1;"Joggery z ozdobnymi lampasami";"TataKobasa";"299,90"
154;1;"Joggery z ozdobnymi lampasami";"TataKobasa";"299,90"
155;1;"Spodnie dzianinowe o kroju slim fit z przeszyciami";"TataKobasa";"299,90"
156;1;"VISTULA|PZPN - Wełniany garnitur o kroju super slim";"TataKobasa";"1999,90"
157;1;"Garnitur o kroju super slim w kratę";"TataKobasa";"2499,90"
158;1;"Garnitur o kroju super slim w kratę";"TataKobasa";"1999,90"
159;1;"Garnitur o kroju super slim";"TataKobasa";"1799,90"
160;1;"Garnitur 3-częściowy o kroju super slim";"TataKobasa";"2199,90"
161;1;"Garnitur o kroju slim fit w kratę";"TataKobasa";"1799,90"
