"ID";"Aktywny (0 lub 1)";"Nazwa";"Kategorie (x,y,z...)";"Cena bez podatku. (netto)";"W sprzedaży (0 lub 1)";"Wartość rabatu";"Opis";"Podsumowanie";"Adresy URL zdjęcia (x,y,z...)"
"0000XA2931";1;"Puchowa parka z kapturem";"TataKobasa";"1099,90";1;"";"<p>Puchowa kurtka w kolorze granatowym. Zapinana jest na zamek błyskawiczny, kryty plisą zapinaną na napy. Kurtka posiada regulowany kaptur, w pasie sznurek do regulacji obwodu oraz naturalne wypełnienie z puchu kaczego z dodatkiem pierza. Model na zdjęciu ma 190 cm wzrostu i prezentuje rozmiar 50.</p>";"<p>100% Poliester, podszewka: 100% Poliamid</p>";"https://vistula.pl/mis/d/granatowa-kurtka-vistula-134264.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-134256.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-134264.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-134256.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-134268.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-134260.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-134272.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-134280.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-134284.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-134276.jpg"
"0000XA2965";1;"Puchowa parka z kapturem";"TataKobasa";"1099,90";1;"";"<p>Puchowa kurtka w kolorze bordowym. Zapinana jest na zamek błyskawiczny, kryty plisą zapinaną na napy. Kurtka posiada regulowany kaptur, w pasie sznurek do regulacji obwodu oraz naturalne wypełnienie z puchu kaczego z dodatkiem pierza. Model na zdjęciu ma 190 cm wzrostu i prezentuje rozmiar 50.</p>";"<p>100% Poliester, podszewka: 100% Poliamid</p>";"https://vistula.pl/mis/d/bordowa-kurtka-vistula-134304.jpg,https://vistula.pl/mis/d/bordowa-kurtka-vistula-134316.jpg,https://vistula.pl/mis/d/bordowa-kurtka-vistula-134304.jpg,https://vistula.pl/mis/d/bordowa-kurtka-vistula-134316.jpg,https://vistula.pl/mis/d/bordowa-kurtka-vistula-134320.jpg,https://vistula.pl/mis/d/bordowa-kurtka-vistula-134312.jpg,https://vistula.pl/mis/d/bordowa-kurtka-vistula-134300.jpg,https://vistula.pl/mis/d/bordowa-kurtka-vistula-134332.jpg,https://vistula.pl/mis/d/bordowa-kurtka-vistula-134340.jpg,https://vistula.pl/mis/d/bordowa-kurtka-vistula-134328.jpg,https://vistula.pl/mis/d/bordowa-kurtka-vistula-134336.jpg"
"9VO7VI2726";1;"VISTULA|PZPN - Wełniana kurtka typu bomber";"TataKobasa";"1599,90";1;"";"<p>Kurtka męska w kolorze szarym. Posiada kołnierz ze stójką, dwie kieszenie boczne oraz ściągacz na rękawach oraz dole produktu. Zapinana jest na zamek błyskawiczny. Wykonana z tkaniny wełnianej od renomowanego, włoskiego producenta Tallia Di Delfino. Produkt posiada wiskozową podszewkę w piłki.</p>";"<p>100% Wełna, podszewka 100% Wiskoza, podszewka rękawów: 100% Wiskoza</p>";"https://vistula.pl/mis/d/szara-kurtka-vistula-133000.jpg,https://vistula.pl/mis/d/szara-kurtka-vistula-132968.jpg,https://vistula.pl/mis/d/szara-kurtka-vistula-133000.jpg,https://vistula.pl/mis/d/szara-kurtka-vistula-132968.jpg,https://vistula.pl/mis/d/szara-kurtka-vistula-133044.jpg,https://vistula.pl/mis/d/szara-kurtka-vistula-133024.jpg"
"0000XA1848";1;"Puchowa kurtka";"TataKobasa";"999,90";1;"";"<p>Kurtka męska w kolorze czarnym, z charakterystycznym błyskiem. Zapinana jest na zamek umieszczony asymetrycznie obok cienkiego podłużnego panelu z nadrukowanym logo. Rękawy zakończone ściągaczem z gumą z tkaniny bazowej. Kurtka posiada ukośne kieszenie umieszczone po bokach, na wysokości klatki piersiowej kieszeń umieszczona pionowo (drugi zamek jest ozdobny) oraz dwie atrapy skośnych kieszeni z zamkiem na rękawach. Model na zdjęciu ma 185 cm wzrostu i prezentuje rozmiar 50.</p>";"<p>100% Poliamid, podszewka: 100% Poliester, podszewka rękawów: 100% Poliester</p>";"https://vistula.pl/mis/d/czarna-kurtka-vistula-133512.jpg,https://vistula.pl/mis/d/czarna-kurtka-vistula-133536.jpg,https://vistula.pl/mis/d/czarna-kurtka-vistula-133512.jpg,https://vistula.pl/mis/d/czarna-kurtka-vistula-133536.jpg,https://vistula.pl/mis/d/czarna-kurtka-vistula-133520.jpg,https://vistula.pl/mis/d/czarna-kurtka-vistula-133592.jpg,https://vistula.pl/mis/d/czarna-kurtka-vistula-133576.jpg,https://vistula.pl/mis/d/czarna-kurtka-vistula-112466.jpg,https://vistula.pl/mis/d/czarna-kurtka-vistula-112514.jpg"
"0000XA1829";1;"Puchowa parka z kapturem";"TataKobasa";"1099,90";1;"";"<p>Puchowa kurtka w kolorze granatowym. Posiada kieszenie boczne z listewką. Zasuwana jest na zamek błyskawiczny, kryty plisą zapinaną na napy. Kurtka posiada naturalne wypełnienie z puchu kaczego z dodatkiem pierza. Model na zdjęciu ma 190 cm wzrostu i prezentuje rozmiar 50.</p>";"<p>80% Poliamid, 20% Elastan, podszewka: 100% Poliamid</p>";"https://vistula.pl/mis/d/granatowa-kurtka-vistula-132856.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-132840.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-132856.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-132840.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-132888.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-132836.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-132860.jpg"
"0000XA2663";1;"Puchowa parka z kapturem";"TataKobasa";"1099,90";1;"";"<p>Puchowa kurtka w kolorze granatowym, z regulowanym kapturem. Posiada kieszenie na piersi z listewką oraz dwie kieszenie z przodu zapinane na guziki. Zasuwana jest na zamek błyskawiczny kryty plisą zapinaną na guziki. Kurtka posiada naturalne wypełnienie z puchu kaczego z dodatkiem pierza. Model na zdjęciu ma 190 cm wzrostu i prezentuje rozmiar 50.</p>";"<p>71% Poliester, 23% Wiskoza, 6% Wełna, podszewka: 100% Poliamid, podszewka rękawów: 100% Poliester</p>";"https://vistula.pl/mis/d/granatowa-kurtka-lantier-131192.jpg,https://vistula.pl/mis/d/granatowa-kurtka-lantier-131184.jpg,https://vistula.pl/mis/d/granatowa-kurtka-lantier-131192.jpg,https://vistula.pl/mis/d/granatowa-kurtka-lantier-131184.jpg,https://vistula.pl/mis/d/granatowa-kurtka-lantier-131196.jpg,https://vistula.pl/mis/d/granatowa-kurtka-lantier-131188.jpg"
"0000XA2930";1;"Puchowa kurtka z kapturem";"TataKobasa";"1099,90";1;"";"<p>Pikowana kurtka w kolorze granatowym. Z przodu posiada duże kieszenie. Produkt z zapinanym kapturem, zasuwany na zamek błyskawiczny kryty plisą zapinaną na napy. Kurtka posiada wypełnienie z puchu kaczego i pierzy. Model na zdjęciu ma 186,5 cm wzrostu i prezentuje rozmiar 50.</p>";"<p>100% Poliester, podszewka: 100% Poliester</p>";"https://vistula.pl/mis/d/granatowa-kurtka-vistula-130040.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-130032.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-130040.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-130032.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-130068.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-130016.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-130044.jpg"
"0000XA1712";1;"Sportowa kurtka z łączonych materiałów";"TataKobasa";"699,90";1;"";"<p>Kurtka sportowa w kolorze czarnym. Posiada kieszenie boczne zasuwane na zamek oraz mniejszą kieszonkę na piersi. Zapinana na gumowy zamek błyskawiczny. Wykonana z łączonych materiałów. Model na zdjęciu ma 188 cm wzrostu i prezentuje rozmiar 50.</p>";"<p>100% Poliester, podszewka: 95% Poliester, 5% Elastan</p>";"https://vistula.pl/mis/d/czarna-kurtka-vistula-130028.jpg,https://vistula.pl/mis/d/czarna-kurtka-vistula-130056.jpg,https://vistula.pl/mis/d/czarna-kurtka-vistula-130028.jpg,https://vistula.pl/mis/d/czarna-kurtka-vistula-130056.jpg,https://vistula.pl/mis/d/czarna-kurtka-vistula-130072.jpg,https://vistula.pl/mis/d/czarna-kurtka-vistula-130048.jpg,https://vistula.pl/mis/d/czarna-kurtka-vistula-125299.jpg,https://vistula.pl/mis/d/czarna-kurtka-vistula-125247.jpg,https://vistula.pl/mis/d/czarna-kurtka-vistula-130100.jpg,https://vistula.pl/mis/d/czarna-kurtka-vistula-125271.jpg"
"0000XA2908";1;"Kurtka z wypełnieniem z recyklingu";"TataKobasa";"799,90";1;"";"<p>Pikowana kurtka w kolorze szarym. Posiada duże kieszenie z przodu, zapinane na napy. Produkt z regulowanym kapturem, zasuwany na zamek błyskawiczny kryty plisą zapinaną na napy. Kurtka posiada wypełnienie z poliestru z recyklingu. Model na zdjęciu ma 190 cm wzrostu i prezentuje rozmiar 50.</p>";"<p>100% Poliester, podszewka: 100% Poliamid</p>";"https://vistula.pl/mis/d/szara-kurtka-vistula-127785.jpg,https://vistula.pl/mis/d/szara-kurtka-vistula-127789.jpg,https://vistula.pl/mis/d/szara-kurtka-vistula-127785.jpg,https://vistula.pl/mis/d/szara-kurtka-vistula-127789.jpg,https://vistula.pl/mis/d/szara-kurtka-vistula-127809.jpg,https://vistula.pl/mis/d/szara-kurtka-vistula-127797.jpg"
"0000XA2932";1;"Puchowa kurtka z kapturem";"TataKobasa";"599,90";1;"";"<p>Pikowana kurtka w kolorze czarnym. Posiada kieszenie boczne zasuwane na zamek, zapinana jest na zamek błyskawiczny. Kurtka posiada naturalne wypełnienie z puchu kaczego z dodatkiem pierzy. Wykonana z wodoodpornej tkaniny. Produkt z możliwością spakowania do małej torby. Model na zdjęciu ma 190 cm wzrostu i prezentuje rozmiar 50.</p>";"<p>100% Poliester, podszewka: 100% Poliester</p>";"https://vistula.pl/mis/d/granatowa-kurtka-vistula-129816.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-129792.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-129816.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-129792.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-129896.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-129828.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-129804.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-129988.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-129956.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-129936.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-129944.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-129976.jpg"
"0000XA2934";1;"Puchowa kurtka z kapturem";"TataKobasa";"599,90";1;"";"<p>Pikowana kurtka w kolorze szarym. Posiada kieszenie boczne zasuwane na zamek, zapinana jest na zamek błyskawiczny. Kurtka posiada naturalne wypełnienie z puchu kaczego z dodatkiem pierzy. Wykonana z wodoodpornej tkaniny. Produkt z możliwością spakowania do małej torby. Model na zdjęciu ma 190 cm wzrostu i prezentuje rozmiar 50.</p>";"<p>100% Poliester, podszewka: 100% Poliester</p>";"https://vistula.pl/mis/d/szara-kurtka-vistula-129840.jpg,https://vistula.pl/mis/d/szara-kurtka-vistula-129796.jpg,https://vistula.pl/mis/d/szara-kurtka-vistula-129840.jpg,https://vistula.pl/mis/d/szara-kurtka-vistula-129796.jpg,https://vistula.pl/mis/d/szara-kurtka-vistula-129888.jpg,https://vistula.pl/mis/d/szara-kurtka-vistula-129864.jpg,https://vistula.pl/mis/d/szara-kurtka-vistula-129980.jpg,https://vistula.pl/mis/d/szara-kurtka-vistula-129924.jpg,https://vistula.pl/mis/d/szara-kurtka-vistula-130004.jpg,https://vistula.pl/mis/d/szara-kurtka-vistula-129996.jpg,https://vistula.pl/mis/d/szara-kurtka-vistula-129964.jpg"
"0000XA1662";1;"Parka z technicznej tkaniny";"TataKobasa";"799,90";1;"";"<p>Dłuższa kurtka z kapturem w kolorze granatowym. Posiada regulowany kaptur oraz kieszonkę z zamkiem na lewym rękawie. Wewnątrz pikowana podszewka z wypełnieniem z poliestru. Model na zdjęciu ma 190 cm wzrostu i prezentuje rozmiar 50.</p>";"<p>100% Poliester, podszewka: 100% Poliamid</p>";"https://vistula.pl/mis/d/granatowa-kurtka-vistula-128205.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-128209.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-128205.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-128209.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-128249.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-128193.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-128221.jpg"
"0000XA1663";1;"Parka z technicznej tkaniny";"TataKobasa";"799,90";1;"";"<p>Dłuższa kurtka z kapturem w kolorze fioletowym. Posiada regulowany kaptur oraz kieszonkę z zamkiem na lewym rękawie. Wewnątrz pikowana podszewka z wypełnieniem z poliestru. Model na zdjęciu ma 186,5 cm wzrostu i prezentuje rozmiar 50.</p>";"<p>100% Poliester, podszewka: 100% Poliamid</p>";"https://vistula.pl/mis/d/fioletowa-kurtka-vistula-130236.jpg,https://vistula.pl/mis/d/fioletowa-kurtka-vistula-130144.jpg,https://vistula.pl/mis/d/fioletowa-kurtka-vistula-130236.jpg,https://vistula.pl/mis/d/fioletowa-kurtka-vistula-130144.jpg,https://vistula.pl/mis/d/fioletowa-kurtka-vistula-130276.jpg,https://vistula.pl/mis/d/fioletowa-kurtka-vistula-130112.jpg"
"0000XA1828";1;"Parka z technicznej tkaniny";"TataKobasa";"799,90";1;"";"<p>Dłuższa kurtka z kapturem w kolorze czarnym. Posiada regulowany kaptur oraz kieszonkę z zamkiem na lewym rękawie. Wewnątrz pikowana podszewka z wypełnieniem z poliestru. Model na zdjęciu ma 186,5 cm wzrostu i prezentuje rozmiar 50.</p>";"<p>100% Poliester, podszewka: 100% Poliamid</p>";"https://vistula.pl/mis/d/czarna-kurtka-vistula-130248.jpg,https://vistula.pl/mis/d/czarna-kurtka-vistula-130116.jpg,https://vistula.pl/mis/d/czarna-kurtka-vistula-130248.jpg,https://vistula.pl/mis/d/czarna-kurtka-vistula-130116.jpg,https://vistula.pl/mis/d/czarna-kurtka-vistula-130312.jpg,https://vistula.pl/mis/d/czarna-kurtka-vistula-130108.jpg"
"9V47VI1582";1;"Dwurzędowa kurtka";"TataKobasa";"1199,90";1;"";"<p>Kurtka męska w kolorze granatowym. Zapinana jest na trzy guziki, z tyłu jedno rozcięcie. Posiada kołnierz ze stójką oraz prostymi klapami, kieszenie boczne skośne z listewką. Dół rękawów z zapinką i guzikiem. Model na zdjęciu ma 186 cm wzrostu i prezentuje rozmiar 50.</p>";"<p>50% Wełna, 25% Poliakryl, 20% Poliester, 5% Inne włókna, podszewka: 100% Wiskoza, podszewka rękawów: 100% Wiskoza</p>";"https://vistula.pl/mis/d/granatowa-kurtka-vistula-89978.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-89970.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-89978.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-89970.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-89982.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-89974.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-94027.jpg,https://vistula.pl/mis/d/granatowa-kurtka-vistula-94023.jpg"
