"ID";"Aktywny (0 lub 1)";"Nazwa*";"Kategoria nadrzędna";"Główna kategoria (0/1)"
1;1;"Paski";"Akcesoria";0
2;1;"Teczki";"Torby i Plecaki";0
3;1;"Garnitury";"Garnitury i Komplety";0
4;1;"Torebki";"Akcesoria";0
5;1;"Czapki i Kapelusze";"Akcesoria";0
6;1;"Kurtki & Płaszcze";"Kobieta";0
7;1;"Komplety- Marynarki i Spodnie";"Garnitury i Komplety";0
8;1;"Garnitury i Komplety";"Kobieta";0
9;1;"Spodnie i Spodenki";"Garnitury i Komplety";0
10;1;"Koszule i Bluzki";"Kobieta";0
11;1;"Rękawiczki";"Akcesoria";0
12;1;"Jeansy";"Mezczyzna";0
13;1;"Poszetki";"Akcesoria";0
14;1;"Na Obcasie";"Buty";0
15;1;"Bransoletki";"Akcesoria";0
16;1;"Marynarki";"Mezczyzna";0
17;1;"Koszulki Polo";"Mezczyzna";0
18;1;"Muchy";"Akcesoria";0
19;1;"Bluzy i Komplety Dresowe";"Kobieta";0
20;1;"Swetry";"Mezczyzna";0
21;1;"Golfy";"Swetry";0
22;1;"Akcesoria";"Mezczyzna";0
23;1;"Gładkie";"Koszulki Polo";0
24;1;"Szelki";"Akcesoria";0
25;1;"Kamizelki";"Garnitury i Komplety";0
26;1;"Kurtki & Płaszcze";"Mezczyzna";0
27;1;"Kurtki i Kurtki Puchowe";"Kurtki & Płaszcze";0
28;1;"Basic";"Bluzy i Komplety Dresowe";0
29;1;"Garnitury i Komplety";"Mezczyzna";0
30;1;"Marynarki";"Kobieta";0
31;1;"Komplety Dresowe";"Bluzy i Komplety Dresowe";0
32;1;"T-shirty";"Mezczyzna";0
33;1;"Buty";"Kobieta";0
34;1;"z Nadrukiem";"T-shirty";0
35;1;"Szale";"Akcesoria";0
36;1;"Koszule";"Koszule i Bluzki";0
37;1;"Kardigany";"Swetry";0
38;1;"Spódnice";"Garnitury i Komplety";0
39;1;"Jeansy";"Kobieta";0
40;1;"Eleganckie";"Buty";0
41;1;"Torby";"Torby i Plecaki";0
42;1;"Spodnie Dresowe";"Bluzy i Komplety Dresowe";0
43;1;"Krawaty";"Akcesoria";0
44;1;"Midi";"Sukienki";0
45;1;"Akcesoria";"Kobieta";0
46;1;"Bielizna";"Akcesoria";0
47;1;"Koszule";"Mezczyzna";0
48;1;"z Kapturem";"Bluzy i Komplety Dresowe";0
49;1;"Bluzki";"Koszule i Bluzki";0
50;1;"Płaszcze i Trencze";"Kurtki & Płaszcze";0
51;1;"Walizki";"Torby i Plecaki";0
52;1;"Sportowe";"Buty";0
53;1;"Spodnie Tkaninowe";"Spodnie";0
54;1;"Swetry";"Kobieta";0
55;1;"Spinki Do Mankietów";"Akcesoria";0
56;1;"Buty";"Mezczyzna";0
57;1;"Bluzy i Komplety Dresowe";"Mezczyzna";0
58;1;"Zimowe";"Buty";0
59;1;"Czapki";"Akcesoria";0
60;1;"Inne";"Akcesoria";0
61;1;"Swetry";"Swetry";0
62;1;"Portfele";"Akcesoria";0
63;1;"Skarpety";"Akcesoria";0
64;1;"Jeans";"Kurtki & Płaszcze";0
65;1;"Casual";"Buty";0
66;1;"Mini";"Sukienki";0
67;1;"Kozaki i Botki";"Buty";0
68;1;"Na Płaskiej Podeszwie";"Buty";0
69;1;"Gładkie";"T-shirty";0
70;1;"Perfumy";"Akcesoria";0
71;1;"z Krótkim Rękawem";"Swetry";0
72;1;"Kurtki Skórzane";"Kurtki & Płaszcze";0
73;1;"Marynarki";"Garnitury i Komplety";0
74;1;"Spodnie";"Kobieta";0
75;1;"Spodnie";"Mezczyzna";0
76;1;"Sukienki";"Kobieta";0
77;1;"Torby i Plecaki";"Mezczyzna";0
