"ID";"Aktywny (0 lub 1)";"Nazwa"
1;1;"Puchowa parka z kapturem"
2;1;"Puchowa parka z kapturem"
3;1;"VISTULA|PZPN - Wełniana kurtka typu bomber"
4;1;"Puchowa kurtka"
5;1;"Puchowa parka z kapturem"
6;1;"Puchowa parka z kapturem"
7;1;"Puchowa kurtka z kapturem"
8;1;"Sportowa kurtka z łączonych materiałów"
9;1;"Kurtka z wypełnieniem z recyklingu"
10;1;"Puchowa kurtka z kapturem"
11;1;"Puchowa kurtka z kapturem"
12;1;"Parka z technicznej tkaniny"
13;1;"Parka z technicznej tkaniny"
14;1;"Parka z technicznej tkaniny"
15;1;"Dwurzędowa kurtka"
16;1;"Dwurzędowa kurtka"
17;1;"Krótka puchowa parka"
18;1;"Puchowa kurtka ze stójką"
19;1;"Puchowa kurtka ze stójką"
20;1;"Puchowa kurtka ze stójką"
21;1;"Puchowa bomberka pikowana"
22;1;"Puchowa bomberka pikowana"
23;1;"Parka z kapturem"
24;1;"Krótka puchowa kurtka"
25;1;"Skórzana kurtka ze stójką"
26;1;"Skórzana kurtka z pikowaniem"
27;1;"Skórzana kurtka ze stójką"
28;1;"Skórzana kurtka"
29;1;"Jeansowa kurtka"
30;1;"Jednorzędowy płaszcz"
31;1;"Jednorzędowy płaszcz"
32;1;"Płaszcz z gładkiej tkaniny"
33;1;"Luźny płaszcz w kratę"
34;1;"Płaszcz w delikatny deseń"
35;1;"Ocieplany płaszcz z domieszką wełny"
36;1;"Płaszcz w delikatny deseń"
37;1;"Klasyczny płaszcz w kratę"
38;1;"Klasyczny płaszcz w kratę"
39;1;"Płaszcz w delikatny deseń"
40;1;"Jednorzędowy płaszcz w pepitę"
41;1;"Płaszcz z tkaniny technicznej"
42;1;"VISTULA|PZPN - Polo z wełny merino"
43;1;"Wełniany sweter z dodatkiem jedwabiu"
44;1;"Wełniany sweter z dodatkiem jedwabiu"
45;1;"Sweter o warkoczowym spocie"
46;1;"Strukturalny sweter z melanżowej dzianiny"
47;1;"Wełniany sweter typu round-neck w prążek"
48;1;"Wełniany sweter typu round-neck w prążek"
49;1;"Wełniany sweter z dodatkiem poliamidu i jedwabiu"
50;1;"Wełniany sweter z dodatkiem poliamidu i jedwabiu"
51;1;"Wełniany sweter z dodatkiem poliamidu i jedwabiu"
52;1;"Wełniany sweter z dodatkiem poliamidu i jedwabiu"
53;1;"Sweter ze stójką z dzianiny bawełnianej"
54;1;"Sweter ze stójką z dzianiny bawełnianej"
55;1;"Sweter ze stójką z dzianiny bawełnianej"
56;1;"Sweter z dzianiny bawełnianej"
57;1;"Sweter z dzianiny bawełnianej"
58;1;"Sweter z dzianiny bawełnianej"
59;1;"Sweter z wzorem"
60;1;"Sweter z wzorem"
61;1;"Sweter z wzorem"
62;1;"Sweter z wzorem"
63;1;"Sweter z wzorem"
64;1;"Sweter typu round-neck z wełny merino"
65;1;"Sweter typu round-neck z wełny merino"
66;1;"Strukturalny sweter zapinany na zamek"
67;1;"Golf o strukturalnym splocie"
68;1;"Golf o strukturalnym splocie"
69;1;"Wywijany golf z prążkowanej dzianiny"
70;1;"Wywijany golf z prążkowanej dzianiny"
71;1;"Wywijany golf z prążkowanej dzianiny"
72;1;"Sweter ze stójką z dzianiny bawełnianej"
73;1;"Golf z prążkowanej dzianiny"
74;1;"Golf z prążkowanej dzianiny"
75;1;"Golf z prążkowanej dzianiny"
76;1;"Wełniany golf z dodatkiem poliamidu i jedwabiu"
77;1;"Wełniany golf z dodatkiem poliamidu i jedwabiu"
78;1;"Golf z wełny merino"
79;1;"Golf z wełny merino"
80;1;"Golf z wełny merino"
81;1;"Golf z wełny merino"
82;1;"Golf z wełny merino"
83;1;"Golf z wełny merino"
84;1;"Golf z wełny merino"
85;1;"Golf z wełny merino"
86;1;"Lekki, wełniany golf"
87;1;"Lekki, wełniany golf"
88;1;"Lekki, wełniany golf"
89;1;"Lekki, wełniany golf"
90;1;"Bawełniany półgolf"
91;1;"Jeansy o prostym kroju"
92;1;"Jeansy z przetarciami"
93;1;"Jeansy z przetarciami"
94;1;"Jeansy o prostym kroju"
95;1;"Jeansy o prostym kroju"
96;1;"Klasyczne jeansy z przetarciami"
97;1;"Jeansy"
98;1;"Jeansy o luźnym kroju"
99;1;"Jeansy"
100;1;"VISTULA|PZPN - Wełniane spodnie"
101;1;"Chinosy o kroju slim fit"
102;1;"Chinosy o kroju slim fit"
103;1;"Chinosy o kroju slim fit"
104;1;"Chinosy o kroju slim fit"
105;1;"Chinosy o kroju slim fit"
106;1;"Chinosy w o kroju slim fit w kratę"
107;1;"Chinosy o kroju slim fit w kratę"
108;1;"Chinosy o kroju slim fit w kratę"
109;1;"Chinosy o kroju slim fit w kratę"
110;1;"Chinosy o kroju slim fit"
111;1;"Sztruksowe spodnie o kroju slim fit"
112;1;"Sztruksowe spodnie o kroju slim fit"
113;1;"Sztruksowe spodnie o kroju slim fit"
114;1;"Spodnie o kroju regular"
115;1;"Spodnie o kroju regular"
116;1;"Spodnie o kroju regular"
117;1;"Sztruksowe spodnie slim fit"
118;1;"Spodnie o kroju slim fit"
119;1;"Spodnie o kroju slim fit"
120;1;"Chinosy o kroju slim fit"
121;1;"Sztruksowe spodnie"
122;1;"Sztruksowe spodnie"
123;1;"Sztruksowe spodnie"
124;1;"Bluza z okrągłym tłoczeniem"
125;1;"Bluza z kapturem"
126;1;"Bluza z kapturem"
127;1;"Bluza z kapturem"
128;1;"Bluza z logo"
129;1;"Bluza z logo"
130;1;"Bluza z logo"
131;1;"Bluza z bawełny pima"
132;1;"Bluza z bawełny pima"
133;1;"Bluza z bawełny pima"
134;1;"Bluza z haftem"
135;1;"Bluza z kapturem"
136;1;"Bluza z kapturem"
137;1;"Bluza z kapturem"
138;1;"Sportowa bluza z ozdobnymi lampasami"
139;1;"Sportowa bluza z ozdobnymi lampasami"
140;1;"Spodnie dresowe"
141;1;"Spodnie dresowe"
142;1;"Bluza z kapturem"
143;1;"Bluza z kapturem"
144;1;"Sportowa bluza z ozdobnymi lampasami"
145;1;"Sportowa bluza z ozdobnymi lampasami"
146;1;"Spodnie dresowe z przeszyciami"
147;1;"Spodnie dresowe z ozdobnymi lampasami"
148;1;"Spodnie dresowe z ozdobnymi lampasami"
149;1;"Joggery cargo"
150;1;"Spodnie dzianinowe z przeszyciami"
151;1;"Spodnie dresowe"
152;1;"Spodnie dresowe"
153;1;"Joggery z ozdobnymi lampasami"
154;1;"Joggery z ozdobnymi lampasami"
155;1;"Spodnie dzianinowe o kroju slim fit z przeszyciami"
156;1;"VISTULA|PZPN - Wełniany garnitur o kroju super slim"
157;1;"Garnitur o kroju super slim w kratę"
158;1;"Garnitur o kroju super slim w kratę"
159;1;"Garnitur o kroju super slim"
160;1;"Garnitur 3-częściowy o kroju super slim"
161;1;"Garnitur o kroju slim fit w kratę"
162;1;"Garnitur o kroju super slim w mikrowzór"
163;1;"Garnitur o kroju super slim w kratę"
164;1;"Garnitur o kroju slim w mikrowzór"
165;1;"Garnitur o kroju super slim"
166;1;"Garnitur o kroju slim fit w kratę"
167;1;"Garnitur o kroju super slim w mikrowzór"
168;1;"Garnitur o kroju super slim w kratę"
169;1;"Garnitur 3-częściowy o kroju super slim"
170;1;"Garnitur o kroju super slim"
171;1;"Garnitur o kroju super slim"
172;1;"Garnitur o kroju super slim"
173;1;"Garnitur o kroju super slim"
174;1;"Garnitur o kroju super slim w mikrowzór"
175;1;"Garnitur o kroju slim fit w kratę"
