"ID";"Aktywny (0 lub 1)";"Nazwa*";"Kategoria nadrzędna";"Główna kategoria (0/1)"
3;1;"Mezczyzna";"";0
4;1;"Kurtki & Płaszcze (meskie)";"Mezczyzna";0
5;1;"Kurtki i Kurtki Puchowe (meskie)";"Kurtki & Płaszcze (meskie)";0
6;1;"Kurtki Skórzane (meskie)";"Kurtki & Płaszcze (meskie)";0
7;1;"Jeans (meskie)";"Kurtki & Płaszcze (meskie)";0
8;1;"Płaszcze i Trencze (meskie)";"Kurtki & Płaszcze (meskie)";0
9;1;"Swetry (meskie)";"Mezczyzna";0
10;1;"Kardigany (meskie)";"Swetry (meskie)";0
11;1;"Golfy (meskie)";"Swetry (meskie)";0
12;1;"Jeansy (meskie)";"Mezczyzna";0
13;1;"Spodnie (meskie)";"Mezczyzna";0
14;1;"Spodnie Tkaninowe (meskie)";"Spodnie (meskie)";0
15;1;"Bluzy i Komplety Dresowe (meskie)";"Mezczyzna";0
16;1;"Basic (meskie)";"Bluzy i Komplety Dresowe (meskie)";0
17;1;"z Kapturem (meskie)";"Bluzy i Komplety Dresowe (meskie)";0
18;1;"Komplety Dresowe (meskie)";"Bluzy i Komplety Dresowe (meskie)";0
19;1;"Spodnie Dresowe (meskie)";"Bluzy i Komplety Dresowe (meskie)";0
20;1;"Garnitury i Komplety (meskie)";"Mezczyzna";0
21;1;"Garnitury (meskie)";"Garnitury i Komplety (meskie)";0
22;1;"Komplety- Marynarki i Spodnie (meskie)";"Garnitury i Komplety (meskie)";0
23;1;"Kamizelki (meskie)";"Garnitury i Komplety (meskie)";0
24;1;"Marynarki (meskie)";"Mezczyzna";0
25;1;"Koszule (meskie)";"Mezczyzna";0
26;1;"T-shirty (meskie)";"Mezczyzna";0
27;1;"Gładkie (meskie)";"T-shirty (meskie)";0
28;1;"z Nadrukiem (meskie)";"T-shirty (meskie)";0
29;1;"Koszulki Polo (meskie)";"Mezczyzna";0
30;1;"Gładkie (meskie)";"Koszulki Polo (meskie)";0
31;1;"Buty (meskie)";"Mezczyzna";0
32;1;"Sportowe (meskie)";"Buty (meskie)";0
33;1;"Casual (meskie)";"Buty (meskie)";0
34;1;"Zimowe (meskie)";"Buty (meskie)";0
35;1;"Eleganckie (meskie)";"Buty (meskie)";0
36;1;"Torby i Plecaki (meskie)";"Mezczyzna";0
37;1;"Teczki (meskie)";"Torby i Plecaki (meskie)";0
38;1;"Torby (meskie)";"Torby i Plecaki (meskie)";0
39;1;"Walizki (meskie)";"Torby i Plecaki (meskie)";0
40;1;"Akcesoria (meskie)";"Mezczyzna";0
41;1;"Bielizna (meskie)";"Akcesoria (meskie)";0
42;1;"Bransoletki (meskie)";"Akcesoria (meskie)";0
43;1;"Czapki (meskie)";"Akcesoria (meskie)";0
44;1;"Krawaty (meskie)";"Akcesoria (meskie)";0
45;1;"Muchy (meskie)";"Akcesoria (meskie)";0
46;1;"Paski (meskie)";"Akcesoria (meskie)";0
47;1;"Perfumy (meskie)";"Akcesoria (meskie)";0
48;1;"Portfele (meskie)";"Akcesoria (meskie)";0
49;1;"Poszetki (meskie)";"Akcesoria (meskie)";0
50;1;"Rękawiczki (meskie)";"Akcesoria (meskie)";0
51;1;"Skarpety (meskie)";"Akcesoria (meskie)";0
52;1;"Spinki Do Mankietów (meskie)";"Akcesoria (meskie)";0
53;1;"Szale (meskie)";"Akcesoria (meskie)";0
54;1;"Szelki (meskie)";"Akcesoria (meskie)";0
55;1;"Inne (meskie)";"Akcesoria (meskie)";0
56;1;"Kobieta";"";0
57;1;"Kurtki & Płaszcze (damskie)";"Kobieta";0
58;1;"Kurtki i Kurtki Puchowe (damskie)";"Kurtki & Płaszcze (damskie)";0
59;1;"Płaszcze i Trencze (damskie)";"Kurtki & Płaszcze (damskie)";0
60;1;"Swetry (damskie)";"Kobieta";0
61;1;"Golfy (damskie)";"Swetry (damskie)";0
62;1;"z Krótkim Rękawem (damskie)";"Swetry (damskie)";0
63;1;"Jeansy (damskie)";"Kobieta";0
64;1;"Spodnie (damskie)";"Kobieta";0
65;1;"Spodnie Tkaninowe (damskie)";"Spodnie (damskie)";0
66;1;"Bluzy i Komplety Dresowe (damskie)";"Kobieta";0
67;1;"Basic (damskie)";"Bluzy i Komplety Dresowe (damskie)";0
68;1;"z Kapturem (damskie)";"Bluzy i Komplety Dresowe (damskie)";0
69;1;"Komplety Dresowe (damskie)";"Bluzy i Komplety Dresowe (damskie)";0
70;1;"Spodnie Dresowe (damskie)";"Bluzy i Komplety Dresowe (damskie)";0
71;1;"Garnitury i Komplety (damskie)";"Kobieta";0
72;1;"Marynarki (damskie)";"Garnitury i Komplety (damskie)";0
73;1;"Spódnice (damskie)";"Garnitury i Komplety (damskie)";0
74;1;"Spodnie i Spodenki (damskie)";"Garnitury i Komplety (damskie)";0
75;1;"Marynarki (damskie)";"Kobieta";0
76;1;"Koszule i Bluzki (damskie)";"Kobieta";0
77;1;"Koszule (damskie)";"Koszule i Bluzki (damskie)";0
78;1;"Bluzki (damskie)";"Koszule i Bluzki (damskie)";0
79;1;"Sukienki (damskie)";"Kobieta";0
80;1;"Mini (damskie)";"Sukienki (damskie)";0
81;1;"Midi (damskie)";"Sukienki (damskie)";0
82;1;"Buty (damskie)";"Kobieta";0
83;1;"Na Obcasie (damskie)";"Buty (damskie)";0
